Type;Cote;Disponibilité;Fond;Titre;Auteur;Date;Édition;Tome;Thème général;Thème particulier;Résumé;Recollage
Livre;FL 270 81 JAN;Empruntable;Local;La Petite Église en 30 questions;JANSSEN Guy;1999;1;;Religion;Religion Histoire et géographie du christianisme et de l'Eglise chrétienne 1789;Le concordat de 1801 a crée un mouvement d'opposition qui a favorisé en France et notamment dans l'Ouest, des communautés religieuses dissidentes du catholicisme. Plusieurs subsistent, et sans prêtre depuis cent cinquante ans, maintiennent la tradition de l'Église d'avant 1789. Ce fascicule présente la Petite Église, son origine, ses pratiques religieuses.;
Livre;FL 398 04 LAC;Empruntable;Local;LE VIEUX BOCAGE QUI S'EN VA;LA CHESNAY Jehan de;1979;3;;Sciences Sociales;Folklore Sociologie;"Les mots ""notes de folklore et de traditionnisme"" sont la transcription d'histoires et croyances populaires, de coutumes, proverbes, chansons, recettes... autour de la vie quotidienne en bocage vendéen.";
Livre;B LOU;Empruntable;Autre;LOUIS XVII;CASTELOT André;1964;1;;Autobiographie ou Biographie;Autobiographie ou Biographie;"L'auteur apporte un éclairage sur l'une des plus étranges énigmes du passé : l'enfance de Louis XVII, enfant comblé au début de sa vie, puis tourmenté par ses bourreaux. Il analyse les problèmes posés par la ""survie"", possiblités d'évasion, faux dauphins, surprenant Naundorff...";
Livre;FL R BER;Empruntable;Local;Le Roman de La Durbelière - Cybèle et Bellone - Jes Jeux de l'Amour et de la Guerre;BÉRART Armand;2016;1;;Roman;Roman;L'intrigue de ce roman se déroule en Bas-Poitou à la veille de la Révolution, entre Alys de Rorthais, jeune aristocrate et le marquis Arthur de la Guyonnière.;
Livre;FL B ROB;Empruntable;Local;ÉTONNANTES HISTOIRES DE CHOUANS;POIGNAT Maurice;1990;1;;Autobiographie ou Biographie;Autobiographie ou Biographie;"L'auteur brosse dans ce livre le portrait de quelques vendéens qui prirent les armes en 1832, incités par la duchesse de Berry en l'honneur de son fils Henri V en particulier Robert le Chouan, le général Diot et Jean-Jacques Mercier, Secondi... ainsi que le rôle de Félicie de la Rochejacquelein ""amazone"" de la chouannerie.";
Livre;FL B COS;Empruntable;Local;La Maison Saint-Vincent;COSTA Irène;????;?;;Autobiographie ou Biographie;Autobiographie ou Biographie;"Ce livret écrit comme un ""cahier de souvenirs"", relate le vécu quotidien dans un orphelinat tenu par les Filles de la Charité de Saint Vincent de Paul entre 1919 et 1939.";
Livre;FL B CHA;Empruntable;Local;Monsieur de Charette - chevalier du Roi;SAINT PIERRE Michel de;2000;2;;Autobiographie ou Biographie;Autobiographie ou Biographie;"A la fin du XVIIIe siècle, au nom de sa foi et de son roi, Charette a inventé, avec des paysans soldats, la guerre subversive moderne. Il était entouré de partisans et d'une ""cavalcade d'amazones.""";
Livre;B DUP;Empruntable;Autre;VILLA DUPONT - C'est si loin Hambourg;DAUTZENBERG Gérard;1990;1;;Autobiographie ou Biographie;Autobiographie ou Biographie;Biographie de Paul Ernest Dupont (1816 1891) qui, de simple employé, est devenu promoteur et propriétaire des terrains et immeubles qui bordent la voie Villa Dupont (Paris 16e).;
Livre;FL B RET;Empruntable;Local;ANDRÉ RETAIL, instituteur en pays de Chouannerie;Collectif;1979;?;;Autobiographie ou Biographie;Autobiographie ou Biographie;L'auteur relate l'évolution de l'école communale en Vendée, depuis le soulévement de cette région en 1793 jusqu'à nos jours.;
Livre;FL B/944 62 MER;Empruntable;Local;Itinéraires d'un historien bressuirais - Charles MERLE ( 1931-2001 );Collectif;2003;1;;Autobiographie ou Biographie;Autobiographie ou Biographie Deux-Sèvres;Cet ouvrage rassemble l'ossature de son oeuvre autour de trois thèmes de recherche qu'il affectionnait : la faïence et notamment celle de Saint-Porchaire, la Révolution française dans le bocage et sa ville, Bressuire.;
Livre;FL B BLA;Empruntable;Local;Jaquette Blanchard - Meunière au Pin, 1731-1804 Un village du bocage à la veille des Guerres de Vendée.;GUERIN-SIMONNAUD Monique;2019;1;;Autobiographie ou Biographie;Autobiographie ou Biographie;Jaquette Blanchard est née en 1731 au moulin de Chanteraine paroisse du Pin près de Bressuire. Ainée de 7 filles, elle grandit et s'y fait une place malgré de lourdes épreuves, mais à partir de 1789 sa vie sera particulièrement difficile en plein coeur de cette région, La Vendée Militaire.;
Livre;FL B PAP;Sur Place;Local;NOTES ANGEVINES - DENIS PAPIN - WILHEM TEN RHYNE - FRANÇOIS BERNIER;PASQUIER Emile Abbé;1939;1;;Autobiographie ou Biographie;Autobiographie ou Biographie;L'auteur trace le portrait de trois élèves qui ont étudié au milieu du 17e siècle à la Faculté de Médecine d'Angers dont il décrit le règlement intérieur, le lieu et la durée des cours, les professeurs...;
Livre;FL B BRE;Empruntable;Local;Théotiste Brémond grand-mère du Pin 1790-1871;GUERIN-SIMONNAUD Monique;2021;1;II;Autobiographie ou Biographie;Autobiographie ou Biographie;Biographie d'une meunière mère de 9 enfants qui vécut au XIXe siècle en la paroisse du Pin près de Bressuire. Ce fut une période fertile en bouleversements politique, économique, culturel et religieux particulièrement en bocage vendéen .;
Livre;FL B CAR;Empruntable;Local;LES NOYADES DE NANTES;LENOTRE G.;1971;1;;Autobiographie ou Biographie;Autobiographie ou Biographie;"Pendant la guerre de Vendée, en 1794, Carrier, pro-consul de la République à Nantes, met au point un procédé expéditif pour les 5 000 condamnés à mort : "" la déportation verticale "" dans la Loire.";
Livre;FL B/944 62 FAL;Empruntable;Local;Histoire de vie - Témoignage d'une famille du Centre-Ouest de la France;FALOURD Georges;????;1;II;Autobiographie ou Biographie;Autobiographie ou Biographie Deux-Sèvres;"Biographie de Georges Falourd, gendarme de carrière, et de sa famille de 1966 à 1970.
Documents en annexe :
Fondation de l’abbaye de Châtillon-sur-Sèvre, Saint Augustin - Un réfugié dans les Deux-Sèvres durant la 2ème Guerre Mondiale - Petite histoire d’une famille de Châtillon-sur-Sèvre, Jeannette Roux - Châtillon-sur-Sèvre raconté par Frère Constantin (Louis Jacquet) - Fiche matricule et certificat de travail de Georges Falourd - Le théâtre de Châtillon-sur-Sèvre - Lettres - Cartes géographiques.";
Livre;FL B/944 62 FAL;Empruntable;Local;Histoire de vie - Témoignage d'une famille du Centre-Ouest de la France;FALOURD Georges;????;1;I;Autobiographie ou Biographie;Autobiographie ou Biographie Deux-Sèvres;"Biographie de Georges Falourd et de sa famille de 1925 à 1965.
Récit commencé en 2014.
Généalogie - Enfance et loisirs, le cercle Saint-Joseph : fanfare, gymnastique, théâtre, le football et le club des Trinitaires de Mauléon - Mariages et naissances - L’escadron de Garde Républicaine en 1952 - Mission en Afrique du Nord.";
Livre;FL B/944 62 FER;Empruntable;Local;IL ETAIT UNE BERGÈRE Histoire d'une voyante pendant la Grande Guerre - Claire Ferchaud;LAUNAY Yves;2017;4;;Autobiographie ou Biographie;Autobiographie ou Biographie Deux-Sèvres;Biographie par Yves Launay de Claire Ferchaud née aux Rinfillières (Puy-ST-Bonnet), mystique pratiquant la dévotion au Sacré-Coeur de Jésus.;
Livre;FL 529 3 Alm;Empruntable;Local;ALMANACH DE L'OUEST VENDÉE/POITOU/CHARENTES pour l'année 1996;Collectif;1995;1;;Sciences Naturelle et Mathématiques;Calendriers;Almanach régional, rassemblant des données très diverses pour cette zone géographique (calendriers, informations agricoles, historiques, culturelles, pratiques locales).;
Livre;549 BAU;Empruntable;Autre;Guides des Minéraux - Minéraux - -Roches - Pierres Précieuses;BAUER J.;1972;2;;Sciences Naturelle et Mathématiques;Minéralogie;Les minéraux : classification, genèse, formes, propriétés physiques. Identification des roches et des pierres précieuses. Le tout illustré de 576 photographies.;
Livre;551 7 BOU;Empruntable;Autre;La géologie;BOURCART Jacques;1959;1;;Sciences Naturelle et Mathématiques;Géologie historique. Stratigraphie;L’ouvrage propose une synthèse claire et structurée des connaissances géologiques de l’époque, avant la généralisation de la tectonique des plaques (qui s’imposera dans les années 1960-70).;
Livre;FL 551 5 Tem;Empruntable;Local;Le temps qu'il fait en Poitou-Charentes-Vendée;Collectif;2006;1;;Sciences Naturelle et Mathématiques;Météorologie;Savoirs populaires, magie et sciences concernant la météorologie.;
Livre;FL 737 4 Arg;Empruntable;Local;Argent caché ... et retrouvé - Les trésors monétaires découverts en Deux-Sèvres;Collectif;2007;1;;Arts;Numismatique et sigillographie Médailles;Catalogue publié à l'occasion de la tenue itinérante de l'exposition présentée dans les musées des Deux-Sèvres d'octobre 2007 à 2009.;
Livre;708 KLE;Empruntable;Autre;LES PETITS SOLDATS DE STRASBOURG;KLEIN Jean-Pierre;1985;1;;Arts;Galeries, musées, collections d'art;Catalogue général des collections des Musées de Strasbourg concernant Le petit Soldat de Strasbourg : jouet d'enfant, loisirs d'adulte, témoin de l'histoire. Ce catalogue est agrémenté de planches, imprimés, peintures et gravures.;
Livre;FL 745 5 Met;Empruntable;Local;MÉTIERS d'ART - PAYS DE LA LOIRE;Collectif;1982;1;;Arts;Arts décoratifs, arts mineurs. Artisanat d'art;"Revue publiée par la Société d'Encouragement aux Métiers d'Art - N° 21
L’architecture rurale en Vendée - La tapisserie - Les créations d’expression textile -- La ferronnerie et la sculpture sur métal - Le staff - Le vitrail ancien - La céramique - Le bois - La vannerie - La facture instrumentale.
Le luthier - Le facteur d’orgues - Le souffleur de verre.
Le compagnonnage dans les Pays de la Loire - Les artisans d’art - Les meilleurs Ouvriers de France - Les associations d’artisans d’art - Les salons et expositions.";
Livre;709 01 JOU;Empruntable;Autre;Les premiers paysans du Golfe - Le Néolithique dans le Marais poitevin;JOUSSAUME Roger;1998;1;;Arts;Histoire et géographie des Beaux-Arts et des Arts décoratifs Art primitif, préhistorique et de l'Antiquité;L'auteur brosse, sur une vingtaine de sites importants, un large tableau de la vie des premières sociétés rurales et de leur impact sur leur environnement.;
Livre;808 883 PER;Empruntable;Autre;MÉMOIRES D'UN COMPAGNON;PERDIGUIER Agricol;1964;1;;Littérature et Rhétorique;Journaux intimes, mémoires;Autobiographie d'un Compagnon du Tour de France au début du XIXe siècle.;
Livre;FL 803 GRI;Empruntable;Local;ILS ONT DÉFIÉ LA RÉPUPLIQUE - Dictionnaire des officiers de l'armée vendéenne de 1793;GRIFFON de PLEINEVILLE Bruno;2025;?;;Littérature et Rhétorique;Dictionnaires, encyclopédies, concordances;« Ce dictionnaire rassemble les noms de près de 1700 officiers qui ont combattu dans les armées vendéennes de 1793 à 1796. En plus de leur état civil complet, de leurs décorations et pensions, est noté le récit de leurs faits d’armes les plus marquants. »;
Livre;FL 914 462 Sev;Empruntable;Local;Sèvre Argent;JOLLY Anne - JOLLY Jean-Patrick;????;?;;Géographie et Histoire;Géographie Deux-Sèvres;Balades en photos dans les communes des cantons de Mauléon et Cerizay.;
Livre;FL 914 461 CHA;Empruntable;Local;LA VENDÉE;CHAIGNE Louis;1981;?;;Géographie et Histoire;Géographie Vendée;Etude géographique et historique illustrée de nombreuses photographies de la Vendée préhistorique jusqu'à l'époque contemporaine. Un index des lieux cités accompagné de notes complète l'ouvrage.;
Livre;FL 914 464 Sur;Empruntable;Local;SURGÈRES;Collectif;1993;1;;Géographie et Histoire;Géographie Charente-Maritime;Monographie sur la ville de Surgères (Charente-Maritime) réalisée par l'Office du Tourisme et la Société des Sciences Naturelles et Humaines.;
Livre;FL 914 461 Gui;Empruntable;Local;GUIDE HISTORIQUE ET TOURISTIQUE DE LA VENDÉE MILITAIRE;Collectif;1989;6;;Géographie et Histoire;Géographie Vendée;Ce fascicule décit les quelque 700 paroisses qui se soulevèrent en mars 1793. Ces paroisses couvrent l'immense territoire de la Loire au Lay et de l'Océan au Bressuirais.;
Livre;577 7 MAN;Empruntable;Autre;ANIMAUX ET PLANTES DU BORD DE MER;MANDAHL G.;????;1;;Sciences Naturelle et Mathématiques;Ecologie Ecologie marine;Ce catalogue illustré traite de 261 espèces animales et végétales du bord de mer.;
Livre;390 4 BER;Empruntable;Autre;VIEUX MÉTIERS ET PRATIQUES OUBLIÉES A PARIS DANS LA RÉGION PARISIENNE ET AILLEURS;BERTHEAU Georges;1988;1;;Sciences Sociales;Coutumes, savoir-vivre, folklore Coutumes des différentes professions;L'auteur relate les petits métiers de rue parisiens (marchands ambulants, rémouleurs, vitriers, chiffonniers, porteurs d’eau, etc.), les artisans traditionnels (bourreliers, sabotiers, tonneliers, repasseuses, etc.) Il décrit les pratiques anciennes liées au commerce, à l’artisanat ou à la vie rurale ainsi que l’évolution urbaine et industrielle ayant entraîné la disparition de ces professions.;
Livre;FL 395 4 GUE;Empruntable;Local;Le Temps me dure Correspondance de guerre (1914-1918);GUERIN-SIMONNAUD Monique;2014;1;;Sciences Sociales;Savoir vivre (Bonnes manières) Correspondance;"Ce recueil réunit de nombreuses cartes postales et lettres échangées entre des poilus et leurs familles (grands-parents, cousins), offrant une vision intime et touchante du quotidien de la guerre. 
Il raconte la vie des combattants. Ces correspondances montrent les espoirs, les peines, les nouvelles du front et l’attente constante des nouvelles des proches, des éléments typiques de la correspondance de guerre de 1914-1918.";
Livre;307 72 LUX;Empruntable;Autre;Rase campagne La fin des communautés paysannes 1830-1914;LUXARDO Hervé;1984;1;;Sciences Sociales;Sciences Sociales Communauté Type Rurales;"L'auteur décrit l’impact de la mécanisation agricole et des engrais chimiques sur les pratiques rurales quotidiennes. Il mentionne la diffusion de la scolarisation, des journaux et des idéaux politiques qui bouleversent la vie villageoise.
Il raconte la vie quotidienne des paysans : relations sociales, pratiques religieuses, fêtes, amours et comportements politiques et fait part
de réflexions sur des sujets moins classiques ou peu explorés à l’époque de la publication, comme les formes de violence rurale (incendies criminels, attaques de diligences) ou la lecture paysanne.";
Livre;FL 373 JAM;Empruntable;Local;L'Ecole normale de Parthenay;JAMONEAU Henri;2002;4;;Sciences Sociales;Enseignement secondaire;"Cet ouvrage est une monographie historique et pédagogique qui retrace plusieurs aspects de l’existence de l’École normale de Parthenay, une école de formation des instituteurs primaires : 
L’épopée carolopolitaine et la naissance de l’école dans le contexte éducatif local ;
les études et la pédagogie mise en place pour former les futurs enseignants ; le rôle de l’enseignement agricole et d’autres spécialités ; la vie quotidienne des normaliens, avec des récits sur la vie sociale, culturelle et associative; les liens entre l’école et la vie locale ; L’amicale des anciens élèves et l’idéal laïque qui animait l’institution.
Il présente des portraits, anecdotes et illustrations (nombreuses photos en noir et blanc).";
Livre;FL 390 ROU;Empruntable;Local;Les Mystères du Marais Vendéen;ROUILLÉ Joseph;1971;4;;Sciences Sociales;Coutumes, savoir-vivre, folklore;Ce livre décrit l’histoire de la région du marais vendéen depuis ses origines jusqu’à l’époque moderne. Il rapporte des récits culturels, légendes et traités sur les coutumes locales. Sont évoqués des éléments sur la vie dans le Marais et les bourgs les traditions, le caractère, les mœurs du maraîchin, et les personnages marquants.;
Livre;FL 346 04 LAB;Empruntable;Local;DONS D'HOMMES au XIIIe siècle;LA BOUTELIÈRE DE Louis;1872;1;;Sciences Sociales;Droit privé - Propriété;Chartes en latin sur l'obligation d'acquitter les redevances que les coutumes féodales imposent au XIIIe siècle dans la région qui est aujourd'hui le département de Vendée.;
Livre;FL 391 4 MAS;Empruntable;Local;LA DORMEUSE ou l'art de la coiffe nantaise;MASSON Paul;1979;1;;Sciences Sociales;Costume et apparence personnelle Accessoires Gants Chaussures;Historique de la coiffe nantaise, descriptifs des différentes parties et des matières utilisées. Photos et patrons des coiffes nantaises et alentours ainsi que leurs méthodes de repassage.;
Livre;FL 398 4 LEQ;Empruntable;Local;FONTAINES MIRACULEUSES et eaux consacrées guérissantes ou légendaires de VENDÉE;LE QUELLEC Jean-Loïc;1986;1;;Sciences Sociales;Folklore Sujets du folklore : surnaturel et légendaire;Rites et croyances liés aux puits, aux fontaines, aux sources, aux ponts et aux cours d'eau.;
Livre;FL 380 1 Com;Empruntable;Local;LES COMMERCES ET L'ARTISANAT DES ANNEES 1950/1960 A SAINT AMAND SUR SEVRE;Collectif;2024;1;;Sciences Sociales;Commerce communications transports Commerce;"Recueil des documents présentés à l'occasion de l'exposition organisée par ""LES AMAND'HIST"" avec le soutien des Amis du patrimoine.";
Livre;FL 392 GAU;Empruntable;Local;UNE AUTRE VENDÉE;GAUTIER Michel - GAUVRIT Dominique;1980;1;;Sciences Sociales;Coutumes liées au cycle de l'existence et à la vie quotidienne;"Le livre ""Une autre Vendée"" explore la culture vivante et profonde du Bas-Poitou/Vendée au-delà des clichés historiques, en recueillant des témoignages directs, chansons, contes et croyances des habitants.";
Livre;FL 305 4 LAU;Empruntable;Local;Dentelles de vie;LAURENTIN Marie-Thé;2003;1;;Sciences Sociales;Groupes sociaux Femmes;"« Dans le bocage au début du XXe siècle, la vie de la femme était rude, encadrée par les tâches quotidiennes. »
L’auteur rend compte des différentes fonctions qui lui étaient dévolues : 
- la femme génitrice 
- la femme éducatrice, gardienne du foyer et de la vie domestique, gardienne de l’éducation et de la santé, de la morale et de la foi.
- la femme séductrice, séduction contenue, subtile et ingénieuse.";
Livre;371 BET;Empruntable;Autre;Il était une fois... L'ÉCOLE des Gaulois au milieu du XXe siècle;BETUS Monique et Alexis;2001;1;;Sciences Sociales;Les écoles et leurs activités, enseignement spécialisé, éducation spéciale;Monique et Alexis Bétus utilisent des cartes postales, gravures, documents et textes pour nous faire découvrir comment en France, a évolué le monde de l'enseignement depuis l'époque gauloise jusqu'au milieu du XXe siècle.;
Livre;FL 303 64 BER;Empruntable;Local;ESSAI sur les PUY du FOU et les GUERRES DE RELIGION au XVIe siècle;DERIEZ Eugène (Chanoine);????;3;I;Sciences Sociales;Sciences Sociales guerre civile révolution;L’auteur retrace l’histoire de la seigneurie du Puy du Fou dans le contexte des guerres de Religion françaises du XVIᵉ siècle, montrant son rôle local face aux conflits entre catholiques et protestants.;
Livre;FL 303 64 Sou;Empruntable;Local;LE SOULÈVEMENT DE BRESSUIRE 1792-1992;Collectif;1992;1;;Sciences Sociales;Sciences Sociales guerre civile révolution;Catalogue de l'exposition présentée par le musée de Bressuire à l'occasion du Bicentenaire du soulèvement de Bressuire et du combat des moulins de Cornet en août 1792.;
Livre;FL 270 81 VIG;Empruntable;Local;Les Curés du Poitou au siècle des lumières.;VIGIER Fabrice;1999;1;;Religion;Religion Histoire et géographie du christianisme et de l'Eglise chrétienne 1789;L'auteur nous entraîne au coeur de la vie quotidienne des curés au siècle des Lumières, une vie nourrie de préoccupations, de problèmes, de querelles, de rébellions, tributaire des évènements politiques, culturels et religieux.;
Livre;261 7 CAB;Empruntable;Autre;La séparation des Églises et de l'État 1905;CABANEL Patrick;2005;1;;Religion;Religion L'Eglise et les problèmes politiques;En 30 questions l'auteur détaille les causes et le déroulement des évènements religieux de 1905 en France .;
Livre;FL 235 2 MAR;Empruntable;Local;LES SAINTS QUI GUERISSENT EN POITOU -CHARENTES;MARECHAL Jean-Robert;2005;1;;Religion;Etres spirituels Saints;Livre illustré des lieux où sont honorés les saints guérisseurs en Poitou-Charentes.;
Livre;FL 944 081 6 HUT;Empruntable;Local;L'Ouest en guerre;HUTIN François-Régis;2004;2;;Géographie et Histoire;3e République 1939-1945;Ce livre regroupe des articles, photos et récits sur la Seconde Guerre mondiale dans l’Ouest de la France et plus particulièrement au cours de l’Occupation et lors du Débarquement.;
Livre;FL 944 081 4 GEN;Empruntable;Local;Les Tessouallais dans la Grande Guerre 400 soldats au front;GENTAL Marc;2014;1;;Géographie et Histoire;3e République 1914-1918;"L'association "" La Tessoualle histoires Histoire"" a réalisé une longue enquête sur les 66 soldats tessouallais morts au cours de la guerre 14-18.";
Livre;FL 944 62 SAI;Empruntable;Local;le bocage bressuirais dans la guerre de Vendée;SAISSEVAL Guy COUTANT DE;1993;1;;Géographie et Histoire;Histoire Deux-Sèvres;Récits et souvenirs de la guerre de Vendée de 1792 à 1832.;
Livre;FL 944 62 His;Empruntable;Local;DICTIONNAIRE des noms de rues de BRESSUIRE;Collectif;2008;1;;Géographie et Histoire;Histoire Deux-Sèvres;Recherche sur les noms des rues de l'agglomération de Bressuire intégrant Saint Porchaire, et certains quartiers de Terves et de St Sauveur.;
Livre;FL 929 1 BEA;Empruntable;Local;DICTIONNAIRE HISTORIQUE ET GÉNÉALOGIQUE DES FAMILLES DU POITOU;BEAUCHET-FILLEAU Joseph;1978;2;VI;Géographie et Histoire;Généalogie;Liste alphabétique des familles Masson à Maynard + Lardeux.;
Livre;FL 930 1 Arc;Empruntable;Local;EMERGENCE ARCHÉOLOGIE & HISTOIRE DU CHOLETAIS;Collectif;2010;1;;Géographie et Histoire;Archéologie;Livret de l'exposition sur l'archéologie des origines au Moyen Âge sur le territoire choletais.;
Livre;940 18 GOR;Empruntable;Autre;Croisés et Templiers;GORNY Léon;1974;1;;Géographie et Histoire;Histoire générale de l'Europe, l'Europe de l'Ouest Croisades 1100-1299;"L'ouvrage ""Croisés et Templiers"" concerne l'historique des croisades et l’émergence de l’ordre du Temple dans le contexte religieux et politique du Moyen Âge.
Léon Gorny analyse les motivations spirituelles, militaires et économiques qui ont animé ces chevaliers et il met en lumière le rôle majeur des Templiers et les mythes qui entourent leur destin.";
Livre;R KIE;Empruntable;Autre;BELLES ET REBELLES - FEMMES OUBLIÉES DE LA RÉVOLUTION;KIEFNER Sabrina;2025;1;II;Roman;Roman;Portraits de trois authentiques belles dames sous La Révolution : Catherine, pupille de la princesse de Lamballe, Marie-Josèphe Teroigne de Méricourt, Charlotte Corday.;
Livre;FL 013 944 Les;Empruntable;Local;LES DEUX-SÈVRES A PARIS;Collectif;2015;1;I;Généralités;Bibliographies et catalogues consacrés à différents types d'auteurs - Auteurs français;Histoire de la société amicale des républicains des Deux-Sèvres et des Amis du Poitou, appelée « La Fouace », fondée à Paris en 1893 par des personnes natives du département.;
Livre;FL 070 43 VAI;Empruntable;Local;MES COMBATS - 50 ANS DE JOURNAL;VAILLANT Constant;1983;1;I;Généralités;Média Recherche et reportage des nouvelles;Constant Vaillant retrace cinquante ans de journalisme engagé, mêlant souvenirs personnels et grands événements politiques et sociaux au milieu des sites et des gens du Bocage.;
Livre;FL 021 SAL;Empruntable;Local;LE CHARTRIER DE LA DURBELIÈRE;SALVANI J;1926;1;I;Généralités;Bibliothèques et Société Archives et l'Archivistique;Archives familiales sur le Château de la Durbelière.;
Livre;FL 944 61 CHA;Empruntable;Local;LES ORIGINES ET LES RESPONSABILITES DE L'INSURRECTION VENDEENNE;CHAMARD François;1899;2;;Géographie et Histoire;Histoire Vendée;Cet ouvrage analyse les causes profondes du soulèvement de 1793.;
Livre;944 035 LAF;Sur Place;Autre;LOUIS XVI;LA FUYE Maurice De;1937;1;;Géographie et Histoire;Louis XVI, 1774-1792;Ce livre propose un portrait nuancé du roi, loin des caricatures révolutionnaires. L’auteur insiste sur la personnalité, la formation et les intentions réformatrices de Louis XVI.;
Livre;FL 944 18 OUV;Empruntable;Local;MAULÉVRIER son histoire de 1815 à nos jours;OUVRARD Louis;1998;1;;Géographie et Histoire;Histoire Maine et Loire;L' auteur retrace l’évolution de la commune depuis la fin de l’Empire jusqu’à l’époque contemporaine. Il décrit les transformations politiques, économiques et sociales, commente les noms des rues, des fermes, des lieux-dits et du château.;
Livre;FL 262 12 DUT;Sur Place;Local;HISTOIRE DES MOINES ET DES ÉVÊQUES DE LUÇON;DU TRESSAY Abbé;????;2;II;Religion;Ecclésiologie Evêques et Archevêques;Ce recueil traite l’origine et l’évolution du monastère puis du diocèse de Luçon. Il met en lumière le rôle religieux, politique et social des moines et des évêques dans l’histoire locale.;
Livre;291 13 YOU;Empruntable;Autre;Récits De Mythologie Celtique - Second Cycle : LES HÉROS;YOUNG Ella;1966;1;II;Religion;Religion Comparée Mythologies;"Récits de sagas et légendes irlandaises recueillis par Ella Young en 1910.
Le premier cycle « Les Dieux » décrit la formation du monde avec la venue sur la terre d’Irlande des Dieux et des Dê Danaan. 
C’est au plus ancien de ces héros, à Fionn et au clan des Fionna, qu’est consacré le second tome des Récits.";
Livre;FL 255 5 BIL;Empruntable;Local;HISTOIRE RELIGIEUSE DE LA FLOCELLIÈRE;BILLAUD A;1971;1;;Religion;Congrégations et ordres religieux Clergé régulier;Etudes géographiques et historiques de la paroisse de la Flocellière des origines au XXe siècle.;
Livre;291 13 DON;Empruntable;Autre;HISTOIRE ET GEOGRAPHIE MYTHIQUES DE LA FRANCE;DONTENVILLE Henri;1973;1;;Religion;Religion Comparée Mythologies;Cet ouvrage explore les mythes, légendes et traditions populaires comme fondements profonds de l’identité française. L’auteur relie l’histoire et les paysages de la France à travers des figures mythiques, des cultes anciens et des symboles préchrétiens.;
Livre;FL 069 4 COS;Empruntable;Local;Catalogue du XIIe au XVe des musées de Loire-Atlantique;COSTA Dominique;1961;1;;Généralités;Muséologie Collecte et traitement des pièces de musées;"Catalogue des musées de Loire-Atlantique du XIIe au XVe siècle.
Fascicule 1
Premier volume du catalogue des musées départementaux de Loire-Atlantique.
Histoire du musée Dobrée et inventaire non exhaustif de ses collections.";
Livre;FL 255 5 BIL;Empruntable;Local;Histoire Religieuse des Chatelliers-Châteaumur;BILLAUD A;1968;1;;Religion;Congrégations et ordres religieux Clergé régulier;Etudes géographiques et historiques des paroisses des Chatelliers et de Châteaumur, des origines au XXe siècles.;
Livre;FL 944 61 LEG;Empruntable;Local;NOTES HISTORIQUES SUR LA PAROISSE DE LA GAUBRETIÈRE (1793-1815-1832);LEGRAND Paul;1907;1983;I;Géographie et Histoire;Histoire Vendée;"Paul Legrand aborde la situation économique et politique de la Gaubretière avant la Révolution. Il explique la formation et le rattachement des insurgés de ce village vendéen à l’armée du Centre en 1793 et détaille les conséquences catastrophiques du conflit sur la population locale.
Le chapitre suivant est consacré aux soulèvements des « insoumis » en 1815 et 1832.
L’auteur poursuit par la présentation de gaubretièrois qui se sont illustrés au cours de cette période :
Sapinaud de La Rairie, Commandant Sauvageot, Pierre Plessis dit « Cannonnier », Marie Lourdais, André Duchesne.
Le martyrologe de La Gaubretière termine l’ouvrage.";
Livre;FL 944 61 HUG;Empruntable;Local;UN COEUR D'ÉTOFFE ROUGE;HUGUET Jean;1985;1;I;Géographie et Histoire;Histoire Vendée;"""Un cœur d’étoffe rouge"" de Jean Huguet raconte l’enfance marquée par la pauvreté et la guerre, vue à travers le regard sensible d’un jeune garçon.
Entre souvenirs familiaux, blessures intimes et petites joies, le récit montre comment l’amour et la solidarité aident à grandir malgré les épreuves.
C’est un témoignage émouvant sur la résilience, la mémoire et la force des liens humains.";
Livre;FL B PIC;Empruntable;Local;LES CHARRIER DU PAS DE PIERRE;PICARD-CHEVALIER Jeanine;1985;1;;Autobiographie ou Biographie;Autobiographie ou Biographie;"1837-1900
Les Charrier, enfants de petits paysans, sont obligés de quitter la terre familiale. Gagés chez les autres, ou trimant sur leur terre, ils affrontent crânement misère, intolérance, méchanceté, humiliation ou sorcellerie pour essayer de retrouver le bien ancestral.
Ainsi, grâce à l’auteur, vont vivre plusieurs générations au pays de la Petite Eglise, en ce pays « dissident » du Bocage Bas-Poitevin.";O
Livre;FL 270 8 Lap;Empruntable;Local;LA PETITE EGLISE DEUX SIECLES DE DISSIDENCE;Collectif;1987;1;;Religion;Religion Histoire et géographie du christianisme et de l'Eglise chrétienne 1789->;Ce livre retrace l’histoire d’un mouvement catholique dissident né au début du XIXe refusant le concordat de 1801 et l’autorité des évêques concordataires. Implantée surtout dans l’Ouest, la Petite Église vit en marge de l’Église officielle pendant près de deux cents ans, maintenant ses pratiques religieuses et une forte identité communautaire.;
Livre;FL 282 441 MAR;Sur Place;Local;CHRONIQUES DES EGLISES D’ANJOU;MARCHEGAY Paul;1869;1;;Religion;Eglise catholique romaine Anjou;Cet ouvrage rassemble des documents retraçant l’histoire des églises angevines, du Moyen Âge à l’époque moderne. Il met en évidence le rôle central des églises dans les communautés locales et les effets des crises, notamment révolutionnaires, sur le patrimoine et le clergé.;
